id,lat,lon,name
313,41.925858,-87.638973,Lakeview Ave & Fullerton Pkwy
314,41.957921,-87.673567,Ravenswood Ave & Berteau Ave
315,41.906717,-87.682779,Leavitt St & Hirsch St
316,41.96325,-87.679258,Damen Ave & Sunnyside Ave
317,41.869154,-87.671045,Wood St & Taylor St
318,41.954177,-87.664358,Southport Ave & Irving Park Rd
319,41.932595,-87.665939,Greenview Ave & Diversey Pkwy
320,41.872187,-87.661501,Loomis St & Lexington St
321,41.871962,-87.626106,Wabash Ave & 8th St
322,41.799568,-87.594747,Kimbark Ave & 53rd St
323,41.969517,-87.654691,Sheridan Rd & Lawrence Ave
324,41.93132,-87.638742,Stockton Dr & Wrightwood Ave
325,41.973385,-87.668365,Clark St & Winnemac Ave
326,41.967096,-87.667429,Clark St & Leland Ave
327,41.921687,-87.653714,Sheffield Ave & Webster Ave
328,41.788746,-87.601334,Ellis Ave & 58th St
329,41.932684,-87.63625,Lake Shore Dr & Diversey Pkwy
330,41.946176,-87.673308,Lincoln Ave & Addison St
331,41.90854,-87.648568,Halsted St & Blackhawk St
332,41.933341,-87.648747,Halsted St & Diversey Pkwy
333,41.907066,-87.667252,Ashland Ave & Blackhawk St
334,41.940775,-87.639192,Lake Shore Dr & Belmont Ave
335,41.831379,-87.618034,Calumet Ave & 35th St
336,41.809855,-87.606755,Cottage Grove Ave & 47th St
337,41.896544,-87.630931,Clark St & Chicago Ave
338,41.857611,-87.619407,Calumet Ave & 18th St
339,41.838198,-87.645143,Emerald Ave & 31st St
340,41.929546,-87.643118,Clark St & Wrightwood Ave
341,41.866095,-87.607267,Adler Planetarium
342,41.871262,-87.673688,Wolcott Ave & Polk St
343,41.928887,-87.658971,Racine Ave & Wrightwood Ave
344,41.968641,-87.676335,Wolcott Ave & Lawrence Ave
345,41.793242,-87.587782,Lake Park Ave & 56th St
346,41.88283,-87.661206,Ada St & Washington Blvd
347,41.950687,-87.6687,Ashland Ave & Grace St
348,41.854016,-87.695445,California Ave & 21st St
349,41.929143,-87.649077,Halsted St & Wrightwood Ave
350,41.895966,-87.667747,Ashland Ave & Chicago Ave
351,41.803038,-87.606615,Cottage Grove Ave & 51st St
