,cas_rides_in,cas_rides_out,hour,station,sub_rides_in,sub_rides_out,weekday
301,0,0,21,31037.0,1,3,0
302,0,1,9,31110.0,13,26,2
303,1,5,11,31601.0,5,8,5
304,2,5,10,31214.0,30,31,6
305,0,0,7,31271.0,4,2,2
306,0,0,6,31257.0,13,5,1
307,5,0,16,31238.0,16,17,0
308,0,0,19,31705.0,0,2,4
309,1,3,11,31010.0,1,4,6
310,0,0,12,31803.0,0,1,5
311,0,0,2,31500.0,2,1,5
312,1,1,1,31619.0,9,5,6
313,0,0,11,31804.0,1,2,0
314,0,0,5,31500.0,0,1,3
315,0,4,14,31218.0,1,5,1
316,1,2,20,31007.0,3,8,0
317,0,0,3,31508.0,1,1,3
318,3,4,20,31234.0,10,10,6
319,0,0,6,31404.0,0,2,4
320,1,0,7,31624.0,18,46,4
321,0,1,22,31207.0,2,2,5
322,0,0,11,32001.0,1,1,1
323,1,0,10,31604.0,6,5,0
324,0,0,19,31626.0,17,7,2
325,3,1,16,31227.0,6,29,3
326,0,0,17,31069.0,1,1,6
327,0,1,17,31052.0,4,2,1
328,0,0,8,31027.0,1,6,4
329,1,3,13,31611.0,9,12,6
330,5,1,18,31233.0,10,32,4
331,5,2,15,31104.0,27,14,5
332,1,1,23,31628.0,3,7,5
333,0,0,13,31118.0,1,2,0
334,21,19,11,31247.0,6,3,2
335,0,1,10,31033.0,1,1,1
336,0,0,5,31113.0,0,3,2
337,0,1,0,31252.0,1,1,3
338,0,2,8,31513.0,0,7,2
339,0,0,2,31236.0,0,1,6
340,1,1,9,31224.0,8,9,3
341,0,0,7,31033.0,0,1,4
342,6,1,16,31042.0,8,4,5
343,1,0,5,31200.0,12,4,0
344,0,0,20,31050.0,0,2,5
345,1,0,19,31031.0,6,1,0
346,0,0,16,31065.0,0,1,2
347,0,0,7,31509.0,3,9,0
348,5,3,20,31228.0,13,17,4
349,0,0,20,31631.0,9,1,3
350,8,9,13,31225.0,10,6,3
351,1,0,21,31034.0,2,1,4
352,0,2,10,31262.0,7,3,3
353,0,2,15,31633.0,1,2,1
354,0,0,20,31044.0,1,1,6
355,0,0,20,31265.0,11,9,1
356,0,0,11,31303.0,3,4,1
357,0,0,22,31049.0,1,1,3
358,1,0,14,31050.0,0,1,0
359,4,1,10,31272.0,0,1,5
360,0,0,0,31503.0,2,2,2
361,0,0,16,31801.0,1,2,4
362,1,0,21,31608.0,3,1,0
363,0,1,21,31252.0,0,7,3
364,0,0,1,31261.0,0,1,2
365,0,0,6,31629.0,0,5,1
