,cas_rides_in,cas_rides_out,hour,station,sub_rides_in,sub_rides_out,weekday
404,9,9,20,72,20,43,1
405,6,3,22,6,25,22,0
406,14,8,16,62,5,12,6
407,6,5,19,11,17,20,6
408,14,25,09,58,42,76,2
409,26,24,15,10,31,65,2
410,2,1,20,143,13,4,2
411,4,6,20,133,29,24,0
412,1,5,05,103,2,2,5
413,1,4,10,127,7,27,4
414,3,2,19,110,9,11,3
415,8,4,10,86,19,14,6
416,8,2,21,133,11,4,6
417,21,13,18,78,59,34,4
418,0,0,06,77,0,2,5
419,7,10,19,130,27,69,2
420,4,8,11,57,23,46,1
421,1,2,13,122,2,1,0
422,0,12,08,106,2,17,1
423,3,3,16,117,5,16,4
424,13,3,19,39,140,56,0
425,50,35,01,55,24,40,6
426,43,82,12,21,73,67,5
427,7,2,19,135,48,21,3
428,1,27,07,111,50,487,1
429,41,59,15,4,64,71,6
430,3,0,03,55,1,1,1
431,9,6,11,95,38,36,1
432,26,15,14,112,63,70,2
433,0,2,18,144,43,3,2
434,0,0,05,48,55,1,2
435,2,1,05,74,13,10,0
436,3,3,06,20,16,54,4
437,1,1,20,27,26,13,2
438,9,6,21,84,12,27,4
439,14,19,09,55,71,86,3
440,22,7,12,96,44,55,0
441,16,34,20,47,112,57,1
442,5,5,18,15,28,12,0
443,0,0,13,105,2,2,5
444,8,26,08,4,16,11,6
445,0,0,00,106,0,2,1
446,46,54,12,65,5,12,6
447,2,10,07,26,61,268,2
448,28,11,02,88,21,5,6
449,11,16,08,20,105,377,1
450,5,12,16,7,32,111,1
451,2,0,05,12,4,1,5
452,8,4,19,127,47,15,2
453,8,3,09,15,2,9,4
454,40,42,13,94,31,30,6
455,0,1,00,141,0,2,0
456,5,10,09,71,3,73,0
457,0,11,07,66,11,82,4
458,5,7,00,111,4,9,5
459,3,5,06,58,17,102,3
460,0,2,10,142,2,3,6
461,2,0,19,140,14,11,0
462,5,6,07,31,4,2,6
463,5,2,22,50,18,23,1
464,3,2,01,66,4,1,3
465,78,89,16,114,31,26,5
466,0,2,23,127,5,2,1
467,17,41,11,9,42,33,6
