id,lat,long,name
31242,38.89968,-77.041539,18th St & Pennsylvania Ave NW
31243,38.887299,-77.018939,Maryland & Independence Ave SW
31244,38.88412,-77.017445,4th & E St SW
31245,38.912719,-77.022155,7th & R St NW / Shaw Library
31246,38.905126,-77.056887,M St & Pennsylvania Ave NW
31247,38.888553,-77.032429,Jefferson Dr & 14th St SW
31248,38.888767,-77.02858,Smithsonian / Jefferson Dr & 12th St SW
31249,38.879819,-77.037413,Jefferson Memorial
31250,38.903584,-77.044789,20th & L St NW
31251,38.903819,-77.0284,12th & L St NW
31252,38.901539,-77.046564,21st St & Pennsylvania Ave NW
31253,38.902204,-77.04337,19th & K St NW
31254,38.902,-77.03353,15th & K St NW
31255,38.9066,-77.05152,24th & N St NW
31256,38.895914,-77.026064,10th & E St NW
31257,38.90088,-77.048911,22nd & I St NW / Foggy Bottom
31258,38.888251,-77.049426,Lincoln Memorial
31259,38.894722,-77.045128,20th St & Virginia Ave NW
31260,38.896104,-77.049882,23rd & E St NW 
31261,38.892459,-77.046567,21st St & Constitution Ave NW
31262,38.897857,-77.026975,11th & F St NW
31263,38.90268,-77.02674,11th & K St NW
31264,38.894573,-77.01994,6th St & Indiana Ave NW
31265,38.90093,-77.018677,5th St & Massachusetts Ave NW
31266,38.905607,-77.027137,11th & M St NW
31267,38.908142,-77.038359,17th St & Massachusetts Ave NW
31268,38.916794,-77.029779,13th & U St NW
31269,38.887378,-77.001955,3rd St & Pennsylvania Ave SE
31270,38.894851,-77.02324,8th & D St NW
31271,38.892275,-77.013917,Constitution Ave & 2nd St NW/DOL
31272,38.88731,-77.01397,Washington & Independence Ave SW/HHS
31273,38.878433,-77.03023,Hains Point/Buckeye & Ohio Dr SW
31300,38.944551,-77.063896,Van Ness Metro / UDC
31301,38.938736,-77.087171,Ward Circle / American University
31302,38.934751,-77.074647,Idaho Ave & Newark St NW [on 2nd District patio]
31303,38.947607,-77.079382,Tenleytown / Wisconsin Ave & Albemarle St NW
31304,38.922581,-77.070334,36th & Calvert St NW / Glover Park
31305,38.934267,-77.057979,Connecticut Ave & Newark St NW / Cleveland Park
31306,38.922649,-77.077271,39th & Calvert St NW / Stoddert
31307,38.930282,-77.055599,3000 Connecticut Ave NW / National Zoo
31308,38.943837,-77.077078,39th & Veazey St NW
31309,38.954812,-77.082426,Fessenden St & Wisconsin Ave NW
31310,38.955016,-77.069956,Connecticut & Nebraska Ave NW
31311,38.946747,-77.065015,Connecticut Ave & Yuma St NW
31312,38.90849,-77.063586,Wisconsin Ave & O St NW
31313,38.941154,-77.062036,Connecticut Ave & Tilden St NW
31400,38.936043,-77.024649,Georgia & New Hampshire Ave NW
31401,38.9375,-77.0328,14th St & Spring Rd NW
31402,38.947774,-77.032818,14th St Heights / 14th & Crittenden St NW
31403,38.956595,-77.019815,5th & Kennedy St NW
31404,38.9418,-77.0251,9th & Upshur St NW
31405,38.949662,-77.027333,Georgia Ave & Emerson St NW
31406,38.942016,-77.032652,14th & Upshur St NW
31407,38.956432,-77.032947,14th St & Colorado Ave NW
31408,38.975219,-77.016855,Takoma Metro
31500,38.919488,-77.000624,4th St & Rhode Island Ave NE
31501,38.933668,-76.991016,12th & Newton St NE
31502,38.9346,-76.9955,John McCormack Dr & Michigan Ave NE
31503,38.9126,-77.0135,Florida Ave & R St NW
31504,38.932514,-76.992889,10th & Monroe St NE
31505,38.910972,-77.00495,Eckington Pl & Q St NE
31506,38.915417,-77.012289,1st & Rhode Island Ave NW
31507,38.928743,-77.012457,1st & Washington Hospital Center NW
31508,38.90509,-76.9941,Gallaudet / 8th St & Florida Ave NE
31509,38.912659,-77.017669,New Jersey Ave & R St NW
31510,38.927095,-76.978924,18th St & Rhode Island Ave NE
31511,38.928644,-76.990955,12th & Irving St NE
31512,38.903732,-76.987211,Neal St & Trinidad Ave NE
31513,38.918155,-77.004746,Rhode Island Ave & V St NE
31514,38.927497,-76.997194,Hamlin & 7th St NE
31515,38.952369,-77.002721,Fort Totten Metro
31516,38.920682,-76.995876,Rhode Island Ave Metro
31600,38.90304,-77.019027,5th & K St NW
31601,38.8896,-76.9769,19th & East Capitol St SE
31602,38.9308,-77.0315,Park Rd & Holmead Pl NW
31603,38.9057,-77.0056,1st & M St NE
31604,38.899408,-77.015289,3rd & H St NW
31605,38.8851,-77.0023,3rd & D St SE
31606,38.8803,-76.9862,Potomac & Pennsylvania Ave SE
31607,38.884,-76.9861,14th & D St SE
31608,38.8792,-76.9953,8th & Eye St SE / Barracks Row
31609,38.87675,-77.02127,6th & Water St SW / SW Waterfront
31610,38.886952,-76.996806,Eastern Market / 7th & North Carolina Ave SE
31611,38.9003,-76.9882,13th & H St NE
31612,38.894758,-76.997114,D St & Maryland Ave NE
31613,38.884,-76.995397,Eastern Market Metro / Pennsylvania Ave & 7th St SE
31614,38.899983,-76.991383,11th & H St NE
31615,38.900384,-76.99831,6th & H St NE
31616,38.900412,-77.001949,3rd & H St NE
31617,38.900413,-76.982872,Bladensburg Rd & Benning Rd NE
31618,38.889955,-77.000349,4th & East Capitol St NE
31619,38.890461,-76.988355,Lincoln Park / 13th & East Capitol St NE 
31620,38.897222,-77.019347,5th & F St NW
31621,38.895344,-77.016106,4th & D St NW / Judiciary Square
31622,38.894832,-76.987633,13th & D St NE
31623,38.89696,-77.00493,Columbus Circle / Union Station
31624,38.897446,-77.009888,North Capitol St & F St NW
31625,38.881185,-77.001828,3rd & G St SE
31626,38.88732,-76.983569,15th St & Massachusetts Ave SE
31627,38.905707,-77.003041,M St & Delaware Ave NE
31628,38.87861,-77.006004,1st & K St SE
31629,38.889988,-76.995193,8th & East Capitol St NE
31630,38.889908,-76.983326,15th & East Capitol St NE
31631,38.897274,-76.994749,8th & F St NE
31632,38.897195,-76.983575,15th & F St NE
31633,38.887397,-77.026154,Independence Ave & L'Enfant Plaza SW/DOE
31634,38.87501,-77.0024,3rd & Tingey St SE
31635,38.876737,-76.994468,Potomac Ave & 8th St SE
31636,38.90706,-77.015231,New Jersey Ave & N St NW/Dunbar HS
31637,38.899703,-77.008911,North Capitol St & G Pl NE
31638,38.900358,-77.012108,1st & H St NW
31700,38.8601,-76.9672,Good Hope & Naylor Rd SE
31701,38.8692,-76.9599,Branch & Pennsylvania Ave SE
31702,38.878,-76.9607,Randle Circle & Minnesota Ave SE
31703,38.897063,-76.947446,Minnesota Ave Metro/DOES
31704,38.901385,-76.941877,Nannie Helen Burroughs & Minnesota Ave NE
31705,38.894,-76.947974,Benning Branch Library
31706,38.86559,-76.952103,Fairfax Village
31707,38.889935,-76.93723,Benning Rd & East Capitol St NE / Benning Rd Metro
31708,38.896544,-76.96012,Anacostia Ave & Benning Rd NE / River Terrace 
31709,38.884085,-76.957461,34th St & Minnesota Ave SE
31710,38.898536,-76.931862,Nannie Helen Burroughs Ave & 49th St NE
31711,38.908473,-76.933099,Deanwood Rec Center
31800,38.843222,-76.999388,Alabama & MLK Ave SE
31801,38.862669,-76.994637,Anacostia Metro
31802,38.867373,-76.988039,Good Hope Rd & MLK Ave SE
31803,38.866611,-76.985238,Good Hope Rd & 14th St SE
31804,38.865784,-76.9784,Anacostia Library
31805,38.873057,-76.971015,Pennsylvania & Minnesota Ave SE
31806,38.844711,-76.987823,Congress Heights Metro
31807,38.863897,-76.990037,Pleasant St & MLK Ave SE
32000,38.988562,-77.096539,Norfolk Ave & Fairmont St
32001,38.985404,-77.023082,Fenton St & New York Ave 
32002,38.981103,-77.097426,Bethesda Ave & Arlington Blvd
32003,38.983838,-77.09221,Montgomery Ave & Waverly St 
32004,39.096312,-77.192672,Fallsgrove Blvd & Fallsgrove Dr
32005,39.093783,-77.202501,Traville Gateway Dr & Gudelsky Dr
32006,38.987,-77.029417,13th St & Eastern Ave
32007,39.084125,-77.151291,E Montgomery Ave & Maryland Ave
32008,38.98954,-77.098029,Cordell & Norfolk Ave
32009,39.094772,-77.145213,Frederick Ave & Horners Ln
32010,38.98128,-77.011336,Philadelphia & Maple Ave
32011,38.983627,-77.006311,Maple & Ritchie Ave
32012,38.99521,-77.02918,Silver Spring Metro/Colesville Rd & Wayne Ave
32013,38.983525,-77.095367,Montgomery & East Ln
32014,38.961763,-77.085998,Friendship Hts Metro/Wisconsin Ave & Wisconsin Cir
32015,39.120045,-77.156985,Crabbs Branch Way & Redland Rd
32016,39.099376,-77.188014,Fallsgove Dr & W Montgomery Ave
32017,39.083705,-77.149443,Monroe St & Monroe Pl
32018,39.123513,-77.15741,Needwood Rd & Eagles Head Ct
32019,38.990249,-77.02935,East West Hwy & Blair Mill Rd
32020,39.107709,-77.152072,Crabbs Branch Way & Calhoun Pl
32021,38.982456,-77.091991,47th & Elm St
32022,39.000578,-77.00149,Garland Ave & Walden Rd
32023,39.095661,-77.159048,Montgomery College/W Campus Dr & Mannakee St
32024,38.989724,-77.023854,Fenton St & Gist Ave
32025,38.975,-77.01121,Carroll & Westmoreland Ave
32026,38.977933,-77.006472,Carroll & Ethan Allen Ave
32027,38.992375,-77.100104,Battery Ln & Trolley Trail
32028,38.990639,-77.100239,Norfolk & Rugby Ave
32029,38.977093,-77.094589,Offutt Ln & Chevy Chase Dr
32030,39.102099,-77.200322,Broschart & Blackwell Rd
32031,39.094103,-77.132954,Taft St & E Gude Dr
32032,39.076331,-77.141378,Fleet St & Ritchie Pkwy
32033,39.102212,-77.177091,Piccard & W Gude Dr
32034,38.992679,-77.029457,Ripley & Bonifant St
32035,38.999388,-77.031555,Georgia Ave & Spring St
32036,38.997033,-77.025608,Fenton St & Ellsworth Dr 
32037,39.114688,-77.171487,King Farm Blvd & Pleasant Dr
32038,39.110314,-77.182669,King Farm Blvd & Piccard Dr
32039,38.999634,-77.109647,Old Georgetown Rd & Southwick St
32040,38.96115,-77.088659,Friendship Blvd & Willard Ave
32041,39.103091,-77.196442,Medical Center Dr & Key West Ave
32042,39.097636,-77.196636,Shady Grove Hospital
32043,38.997445,-77.023894,Veterans Pl & Pershing Dr 
32044,39.085394,-77.145803,Rockville Metro East
32901,38.903998,-77.063926,1714 Warehouse 
32902,38.86866,-77.013541,11th & K St NW
